name,expenditures,contributions,count
CYNTHIA A. BELL,27004,29291,155
BRUCE WHITLOCK,23363,29194,7
DICK L. BREWBAKER,46428,28750,20
BRIAN KEITH FOLEY,9248,28635,9
GARRY ROBERT MARCHMAN,24090,28007,88
JONATHAN O BARBEE,16671,27994,79
PRISCILLA P DUNN,35679,27150,19
RANDALL (RANDY) M DAVIS,8394,26750,35
RICHARD KEITH COATES,22852,26179,77
DYLAN VAN OLIVER,6505,26116,2
DANNY BROCK JOYNER,12462,26001,19
WILLIAM JOSHUA BURNS,10609,25900,5
JIM CARNS,16207,25750,27
"MARY ""BETTY"" E PETERS",16083,25569,47
PEBBLIN WALKER WARREN,7577,25500,15
ALBERT DAVID JOHNSON,21408,25299,41
JAMES HOWARD SANDERFORD,15581,24725,34
RICK NEEDHAM,31621,24662,77
PAUL WESLEY LEE,12180,24534,34
MARY ANN MOORE,47415,24136,29
ARTHUR SHORES LEE,24070,23595,44
MARCEL BLACK,20238,23300,28
LOUISE UNITA ALEXANDER,610,23000,5
ANTHONY DANIELS JR.,20541,22527,177
JOHN WILLIAM COLE,3895,22511,28
WILLIAM DEXTER GRIMSLEY,16763,22215,20
MIKE BALL,13885,21950,37
HEATHER SELLERS,45113,21831,97
DONALD ROYCE MITCHELL,21765,21769,56
BRYAN EARL MORGAN,15173,21726,27
HUGH M DUDLEY JR.,12582,21667,4
MEREDITH PETERS,18409,21472,65
VICTOR GASTON,10738,21450,21
WALTON WARD HICKMAN,3684,21393,14
YOUNG J BOOZER III,8394,21122,18
CHARLES H. BOOHAKER,14542,20929,35
JIM HILL,2331,20849,33
THOMAS O. MOORE,20623,20621,55
RICHARD J. LINDSEY,7791,20550,19
DANIEL H BOMAN,20154,20500,5
HILDA J ETIENNE,14988,20428,38
CHERYL RINGUETTE CIAMARRA,22199,20270,79
BILLY ALFRED HODGES,20939,20176,14
JAMES WILLIAM BONNER,6671,19999,1
COLLINS PETTAWAY JR.,12416,19864,22
JULIA MARGARET WILCOX,20881,19854,21
ALEX BALKCUM,13148,19816,9
CHRISTOPHER SCOTT MCNEIL,15616,19751,29
ALAN WAYNE BAKER,6550,19649,19
HENRY ABDUL HASEEB,19522,19527,54
JAMES GILBERT BERRYMAN,18627,19499,75
GREGORY D WREN,16702,19250,8
EDWIN EUGENE PRICE,19174,19174,23
BEAU ROBERT MARLAND DOOLITTLE II,11851,18999,38
LOWELL ADAM HADDER,13739,18500,7
JIMMY COLLIER,25405,18225,70
RICHARD J COCHRAN,11169,18082,19
MICHAEL JOHNSON,16715,17823,48
KOVEN L. BROWN,10590,17644,19
BILL FULLER,7393,16705,10
LILLIE JONES-OSBORNE,14147,16388,31
MELODY WALKER,14327,16295,47
"WILLIAM C. ""BILL"" THOMPSON",36683,15714,28
LUCIE MCLEMORE,15795,15684,18
DONALD RAY MURPHY,14136,15660,14
LAURA V HALL,17296,15482,23
DICKIE DRAKE,8190,15250,17
EVERETT W. WESS,14661,15229,75
LINDA W. H. HENDERSON,11382,15180,156
OTIS LEE PATTERSON,10661,15070,76
BUFORD CLIFF MANN,16833,14745,84
JOSEPH E FREEMAN JR.,9298,14625,46
LAWRENCE CONAWAY,8165,14606,104
WARREN GLEA SARRELL JR.,12416,14509,16
ELAINE BEECH,11062,14350,15
GWENDOLYN B KELLEY,14062,14274,17
STEPHEN A. MCMILLAN,7313,14100,20
GREGORY K BURDINE,22685,14100,23
JEFFREY SCOTT CHUNN,13764,14048,15
PHILLIP J PETTUS,13081,14047,41
JIM PERDUE,23814,14008,30
CHARLES FREDRICK JOLY,6360,14004,37
DAVID SESSIONS,3900,13900,19
JOHN F KNIGHT JR.,13377,13885,18
DENNIS W STEPHENS,11779,13519,10
JEFFREY REX MCLAUGHLIN,13448,13448,22
PHILLIP RALPH ANDREWS,11467,13435,47
